 Count,Member,Party,Column1
84,"Lewis, Clive",Labour,#DC241f
84,"Lynch, Holly",Labour,#DC241f
84,"Moore, Damien",Conservative,#0087DC
83,"Morris, James",Conservative,#0087DC
81,"Stevenson, John",Conservative,#0087DC
79,"Freeman, George",Conservative,#0087DC
79,"Garnier, Mark",Conservative,#0087DC
78,"Rimmer, Marie",Labour,#DC241f
77,"Girvan, Paul",Democratic Unionist Party,#D46A4C
77,"Smith, Eleanor",Labour,#DC241f
76,"Stewart, Iain",Conservative,#0087DC
76,"Dent Coad, Emma",Labour,#DC241f
75,"Fovargue, Yvonne",Labour,#DC241f
75,"Metcalfe, Stephen",Conservative,#0087DC
74,"Johnson, Gareth",Conservative,#0087DC
72,"Shah, Naz",Labour,#DC241f
71,"Farrelly, Paul",Labour,#DC241f
69,"Morris, Anne Marie",Conservative,#0087DC
68,"Harman, Harriet",Labour,#DC241f
68,"Henderson, Gordon",Conservative,#0087DC
68,"Hodge, Margaret",Labour,#DC241f
68,"Laird, Lesley",Labour,#DC241f
68,"Morgan, Stephen",Labour,#DC241f
67,"Hepburn, Stephen",Labour,#DC241f
67,"Williamson, Chris",Independent,#DDDDDD
67,"Churchill, Jo",Conservative,#0087DC
66,"Vaz, Keith",Labour,#DC241f
65,"Holloway, Adam",Conservative,#0087DC
65,"Duffield, Rosie",Labour,#DC241f
64,"Alexander, Heidi",Labour,#DC241f
63,"Lewer, Andrew",Conservative,#0087DC
61,"Crausby, David",Labour,#DC241f
61,"Tredinnick, David",Conservative,#0087DC
61,"Milling, Amanda",Conservative,#0087DC
60,"Cooper, Rosie",Labour,#DC241f
60,"Hart, Simon",Conservative,#0087DC
59,"Barron, Kevin",Labour,#DC241f
56,"Beresford, Paul",Conservative,#0087DC
55,"Shuker, Gavin",Change UK   The Independent Group,#cccccc
55,"Twigg, Derek",Labour,#DC241f
55,"Fletcher, Colleen",Labour,#DC241f
55,"Osamor, Kate",Labour (Co-op),#CC0000
54,"Prisk, Mark",Conservative,#0087DC
53,"Smith, Royston",Conservative,#0087DC
51,"McPartland, Stephen",Conservative,#0087DC
51,"Syms, Robert",Conservative,#0087DC
50,"Davies, Glyn",Conservative,#0087DC
48,"Miliband, Edward",Labour,#DC241f
48,"Rees, Christina",Labour (Co-op),#CC0000
47,"Pearce, Teresa",Labour,#DC241f
47,"Shapps, Grant",Conservative,#0087DC
44,"Lord, Jonathan",Conservative,#0087DC
42,"Smith, Julian",Conservative,#0087DC
42,"Trickett, Jon",Labour,#DC241f
40,"Brady, Graham",Conservative,#0087DC
40,"Elliott, Julie",Labour,#DC241f
40,"Robinson, Geoffrey",Labour,#DC241f
40,"Warburton, David",Conservative,#0087DC
37,"Afriyie, Adam",Conservative,#0087DC
